Industry,1. Current Ratio,Wt,Strong,Steady,Shaky,2. Quick Ratio,Wt,Strong,Steady,Shaky,3. Debt-to-Equity,Wt,Strong,Steady,Shaky,4. Asset Turnover,Wt,Strong,Steady,Shaky,5. ROE,Wt,Strong,Steady,Shaky,6. ROA,Wt,Strong,Steady,Shaky,7. Gross Margin,Wt,Strong,Steady,Shaky,8. Net Margin,Wt,Strong,Steady,Shaky,9. Interest Coverage,Wt,Strong,Steady,Shaky,10. Receivables Days,Wt,Strong,Steady,Shaky,11. Operating CF Margin,Wt,Strong,Steady,Shaky,12. CF Coverage,Wt,Strong,Steady,Shaky,13. CF to Debt,Wt,Strong,Steady,Shaky,14. Capex Coverage,Wt,Strong,Steady,Shaky,15. Payable Days,Wt,Strong,Steady,Shaky,16. Working Capital Days,Wt,Strong,Steady,Shaky,Total
Others - Energy,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,4%,4%,3%,1%,<0.4/0.4-0.8/>0.8,8%,8%,5%,2%,>0.6x/0.4-0.6x/<0.4x,9%,9%,6%,2%,>20%/12-20%/<12%,9%,9%,6%,2%,>10%/5-10%/<5%,8%,8%,5%,2%,>35%/25-35%/<25%,14%,14%,9%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<45/45-70/>70 days,5%,5%,3%,1%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/30-40/<30 days,3%,3%,2%,1%,<50/50-75/>75 days,5%,5%,3%,1%,100%
Consumer Staples,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>1.5x/1.0-1.5x/<1.0x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>35%/25-35%/<25%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<25/25-40/>40 days,7%,7%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>35/25-35/<25 days,4%,4%,3%,1%,<30/30-50/>50 days,6%,6%,4%,2%,100%
Consumer Discretionary,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>1.8x/1.2-1.8x/<1.2x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>40%/30-40%/<30%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<20/20-35/>35 days,7%,7%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>30/20-30/<20 days,4%,4%,3%,1%,<25/25-40/>40 days,6%,6%,4%,2%,100%
Automotive,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>1.0x/0.7-1.0x/<0.7x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>18%/12-18%/<12%,12%,12%,8%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<40/40-70/>70 days,7%,7%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>50/35-50/<35 days,4%,4%,3%,1%,<45/45-75/>75 days,6%,6%,4%,2%,100%
Restaurants & Food Service,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,4%,4%,3%,1%,>2.5x/2.0-2.5x/<2.0x,10%,10%,7%,3%,>20%/12-20%/<12%,9%,9%,6%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>60%/50-60%/<50%,16%,16%,10%,4%,>8%/4-8%/<4%,9%,9%,6%,2%,>6x/3-6x/<3x,3%,3%,2%,1%,<5/5-10/>10 days,6%,6%,4%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>15/10-15/<10 days,3%,3%,2%,1%,<10/10-20/>20 days,5%,5%,3%,1%,100%
Personal Care & Cosmetics,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>1.5x/1.0-1.5x/<1.0x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>45%/35-45%/<35%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<30/30-50/>50 days,7%,7%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>35/25-35/<25 days,4%,4%,3%,1%,<35/35-55/>55 days,6%,6%,4%,2%,100%
Others - Consumer,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>1.6x/1.1-1.6x/<1.1x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>38%/28-38%/<28%,14%,14%,9%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<30/30-50/>50 days,7%,7%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>30/25-30/<25 days,4%,4%,3%,1%,<35/35-55/>55 days,6%,6%,4%,2%,100%
Mining & Metals,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,9%,9%,6%,2%,>0.8x/0.5-0.8x/<0.5x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>25%/15-25%/<15%,14%,14%,9%,4%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<45/45-75/>75 days,6%,6%,4%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/30-40/<30 days,3%,3%,2%,1%,<50/50-80/>80 days,6%,6%,4%,2%,100%
Chemicals,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>1.0x/0.7-1.0x/<0.7x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>30%/22-30%/<22%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<35/35-60/>60 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/30-40/<30 days,4%,4%,3%,1%,<40/40-70/>70 days,6%,6%,4%,2%,100%
Paper & Packaging,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>1.2x/0.9-1.2x/<0.9x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>25%/18-25%/<18%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<40/40-65/>65 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>35/25-35/<25 days,4%,4%,3%,1%,<45/45-70/>70 days,6%,6%,4%,2%,100%
Building Materials,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>1.1x/0.8-1.1x/<0.8x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>28%/20-28%/<20%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<50/50-80/>80 days,7%,7%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>45/35-45/<35 days,4%,4%,3%,1%,<55/55-85/>85 days,6%,6%,4%,2%,100%
Cement & Concrete,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>1.0x/0.7-1.0x/<0.7x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>25%/18-25%/<18%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<60/60-90/>90 days,6%,6%,4%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/30-40/<30 days,4%,4%,3%,1%,<65/65-95/>95 days,6%,6%,4%,2%,100%
Others - Materials,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>1.0x/0.7-1.0x/<0.7x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>27%/18-27%/<18%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<45/45-70/>70 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/30-40/<30 days,4%,4%,3%,1%,<50/50-75/>75 days,6%,6%,4%,2%,100%
NBFCs & Microfinance,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,4%,4%,3%,1%,<0.8/0.8-1.5/>1.5,10%,10%,7%,3%,>0.15x/0.10-0.15x/<0.10x,9%,9%,6%,2%,>20%/15-20%/<15%,11%,11%,7%,3%,>5%/3-5%/<3%,11%,11%,7%,3%,>25%/18-25%/<18%,13%,13%,8%,3%,>8%/5-8%/<5%,7%,7%,5%,2%,>4x/2-4x/<2x,4%,4%,3%,1%,<15/15-30/>30 days,6%,6%,4%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,3%,3%,2%,1%,>0.4x/0.2-0.4x/<0.2x,1%,1%,1%,0%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>20/15-20/<15 days,2%,2%,1%,1%,<20/20-35/>35 days,4%,4%,3%,1%,100%
Insurance Services,>1.8/1.2-1.8/<1.2,4%,4%,3%,1%,>1.2/0.8-1.2/<0.8,4%,4%,3%,1%,<0.6/0.6-1.0/>1.0,8%,8%,5%,2%,>0.2x/0.15-0.2x/<0.15x,11%,11%,7%,3%,>20%/12-20%/<12%,11%,11%,7%,3%,>5%/3-5%/<3%,11%,11%,7%,3%,>25%/18-25%/<18%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<30/30-60/>60 days,6%,6%,4%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,3%,3%,2%,1%,>0.4x/0.2-0.4x/<0.2x,1%,1%,1%,0%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>25/20-25/<20 days,2%,2%,1%,1%,<35/35-65/>65 days,4%,4%,3%,1%,100%
Fintech Services,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>1.5x/1.0-1.5x/<1.0x,9%,9%,6%,2%,>20%/12-20%/<12%,10%,10%,7%,3%,>10%/5-10%/<5%,9%,9%,6%,2%,>45%/35-45%/<35%,15%,15%,10%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,3%,3%,2%,1%,<20/20-35/>35 days,7%,7%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,3%,3%,2%,1%,>0.4x/0.2-0.4x/<0.2x,1%,1%,1%,0%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>25/20-25/<20 days,3%,3%,2%,1%,<25/25-40/>40 days,5%,5%,3%,1%,100%
Investment & Securities,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.6/0.6-1.2/>1.2,7%,7%,5%,2%,>0.8x/0.5-0.8x/<0.5x,10%,10%,7%,3%,>20%/12-20%/<12%,10%,10%,7%,3%,>8%/4-8%/<4%,10%,10%,7%,3%,>35%/25-35%/<25%,13%,13%,8%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>5x/3-5x/<3x,5%,5%,3%,1%,<25/25-45/>45 days,7%,7%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,3%,3%,2%,1%,>0.4x/0.2-0.4x/<0.2x,1%,1%,1%,0%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>20/15-20/<15 days,3%,3%,2%,1%,<30/30-50/>50 days,5%,5%,3%,1%,100%
Others - Financial,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.6/0.6-1.1/>1.1,9%,9%,6%,2%,>0.6x/0.4-0.6x/<0.4x,10%,10%,7%,3%,>20%/13-20%/<13%,10%,10%,7%,3%,>7%/4-7%/<4%,11%,11%,7%,3%,>30%/22-30%/<22%,12%,12%,8%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>5x/3-5x/<3x,4%,4%,3%,1%,<25/25-40/>40 days,6%,6%,4%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,3%,3%,2%,1%,>0.4x/0.2-0.4x/<0.2x,1%,1%,1%,0%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>20/15-20/<15 days,3%,3%,2%,1%,<30/30-50/>50 days,5%,5%,3%,1%,100%
Traditional Media,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>1.0x/0.7-1.0x/<0.7x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,8%,8%,5%,2%,>40%/30-40%/<30%,12%,12%,8%,3%,>8%/4-8%/<4%,9%,9%,6%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<45/45-75/>75 days,7%,7%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>30/25-30/<25 days,3%,3%,2%,1%,<50/50-80/>80 days,6%,6%,4%,2%,100%
Digital Media & Gaming,>1.8/1.2-1.8/<1.2,4%,4%,3%,1%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>1.5x/1.0-1.5x/<1.0x,10%,10%,7%,3%,>20%/12-20%/<12%,10%,10%,7%,3%,>10%/5-10%/<5%,10%,10%,7%,3%,>50%/40-50%/<40%,13%,13%,8%,3%,>8%/4-8%/<4%,10%,10%,7%,3%,>6x/3-6x/<3x,3%,3%,2%,1%,<30/30-50/>50 days,7%,7%,5%,2%,>15%/8-15%/<8%,10%,10%,7%,3%,>1.5x/1.0-1.5x/<1.0x,3%,3%,2%,1%,>0.4x/0.2-0.4x/<0.2x,1%,1%,1%,0%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>25/20-25/<20 days,3%,3%,2%,1%,<35/35-55/>55 days,5%,5%,3%,1%,100%
Content Creation & Production,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>1.2x/0.8-1.2x/<0.8x,9%,9%,6%,2%,>20%/12-20%/<12%,9%,9%,6%,2%,>10%/5-10%/<5%,9%,9%,6%,2%,>45%/35-45%/<35%,12%,12%,8%,3%,>8%/4-8%/<4%,9%,9%,6%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<40/40-70/>70 days,7%,7%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>25/20-25/<20 days,3%,3%,2%,1%,<45/45-75/>75 days,6%,6%,4%,2%,100%
Others - Media,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>1.2x/0.8-1.2x/<0.8x,9%,9%,6%,2%,>20%/12-20%/<12%,9%,9%,6%,2%,>10%/5-10%/<5%,9%,9%,6%,2%,>45%/35-45%/<35%,12%,12%,8%,3%,>8%/4-8%/<4%,9%,9%,6%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<35/35-60/>60 days,7%,7%,5%,2%,>15%/8-15%/<8%,9%,9%,6%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>25/20-25/<20 days,3%,3%,2%,1%,<40/40-65/>65 days,6%,6%,4%,2%,100%
Agricultural Production,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,8%,8%,5%,2%,>0.8x/0.5-0.8x/<0.5x,9%,9%,6%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>30%/20-30%/<20%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<30/30-50/>50 days,6%,6%,4%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>25/20-25/<20 days,4%,4%,3%,1%,<35/35-55/>55 days,6%,6%,4%,2%,100%
Dairy & Livestock,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>1.0x/0.7-1.0x/<0.7x,9%,9%,6%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>25%/18-25%/<18%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<20/20-35/>35 days,6%,6%,4%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>20/15-20/<15 days,4%,4%,3%,1%,<25/25-40/>40 days,6%,6%,4%,2%,100%
Fisheries & Aquaculture,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>1.2x/0.8-1.2x/<0.8x,9%,9%,6%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>28%/20-28%/<20%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<15/15-25/>25 days,6%,6%,4%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>15/10-15/<10 days,4%,4%,3%,1%,<20/20-30/>30 days,6%,6%,4%,2%,100%
Agricultural Equipment,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>1.0x/0.7-1.0x/<0.7x,9%,9%,6%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>22%/16-22%/<16%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<45/45-75/>75 days,6%,6%,4%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/30-40/<30 days,4%,4%,3%,1%,<50/50-80/>80 days,6%,6%,4%,2%,100%
Others - Agriculture,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>0.9x/0.6-0.9x/<0.6x,9%,9%,6%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>27%/19-27%/<19%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<30/30-50/>50 days,6%,6%,4%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>25/20-25/<20 days,4%,4%,3%,1%,<35/35-55/>55 days,6%,6%,4%,2%,100%
Hotels & Lodging,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,7%,7%,5%,2%,>0.8x/0.6-0.8x/<0.6x,10%,10%,7%,3%,>20%/12-20%/<12%,10%,10%,7%,3%,>10%/5-10%/<5%,8%,8%,5%,2%,>60%/50-60%/<50%,17%,17%,11%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<10/10-20/>20 days,5%,5%,3%,1%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,3%,3%,2%,1%,>0.4x/0.2-0.4x/<0.2x,1%,1%,1%,0%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>20/15-20/<15 days,3%,3%,2%,1%,<15/15-25/>25 days,5%,5%,3%,1%,100%
Entertainment & Recreation,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>1.2x/0.9-1.2x/<0.9x,10%,10%,7%,3%,>20%/12-20%/<12%,10%,10%,7%,3%,>10%/5-10%/<5%,7%,7%,5%,2%,>45%/35-45%/<35%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<15/15-30/>30 days,5%,5%,3%,1%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>25/20-25/<20 days,3%,3%,2%,1%,<20/20-35/>35 days,6%,6%,4%,2%,100%
